,Category,Question,Answer
,配信,配信した写真を施設操作にて保護者アプリから削除することは可能ですか？,"はい、可能です。施設管理画面のホーム画面のカレンダーの桜マークまたは写真管理画面から、該当写真を開いて「配信取消」ボタンをクリックしてください。
※施設管理・保護者アプリどちらの画面上からも写真が削除されます。
※削除されたデータは復活できませんので、十分ご注意の上操作してください。"
,,,
,保護者の利用プランについて,,
,プラン内容,保護者が有料プランに加入した場合、いつからの写真がダウンロードできますか？,加入日以降（当日含む）の写真がダウンロード可能となります。有料プランに継続して加入いただいている間は加入日以降の写真がずっと表示されていますが、フリープランに変更されると過去の写真が見られなくなりますのでご注意ください。
,プラン内容,保護者アプリで写真を閲覧できる期間はフリープランと有料プランでどのように違いますか？,フリープランは施設からの配信後1ヵ月間、対象写真の閲覧が可能です。有料プランは継続加入いただいている期間は加入日以降の写真がずっと閲覧可能です。
,プラン内容,保護者プランの差を教えてください。,"フリープラン（0円）：配信後1ヵ月間、写真の閲覧（透かしあり）が可能です。ダウンロードや家族招待はできません。
プレミアムプラン（990円/月）：加入日以降の写真が無制限で閲覧、ダウンロード可能です。メインアカウントに加えて、家族を1名招待し写真の閲覧を共有できます。きょうだい追加はできません。
ファミリープラン（1,650円/月）：加入日以降の写真が無制限で閲覧、ダウンロード可能です。メインアカウントに加えて、家族を5名招待し写真の閲覧を共有できます。きょうだい追加も何名でも可能です。"
,プラン内容,保護者が全員フリープランでも問題ないですか？,はい、プラン選択は保護者さまが各自でご自由に選んでいただけますので、問題ございません。
,プラン内容,フリープランの閲覧1ヵ月はいつからが基準日ですか？,施設からの配信後1ヵ月間となります。（例：11月15日配信→12月14日まで閲覧可）
,プラン選択,プランはいつでも加入、変更ができますか？,月末日のみを除いて、保護者アプリからいつでも可能です。月末日はメンテナンスにつきプラン変更ができません。
,プラン選択,月の途中でプランを変更した場合、支払いはどうなりますか？,"フリープランから有料プランへの変更（アップグレード）時は、日割り計算で加入日にご登録のクレジットカードにご請求をさせていただきます。
有料プランからフリープランへの変更（ダウングレード）時は、返金はできかねますが月末日まで有料プランをご利用いただけます。月末の次回請求からご請求が停止し、翌月からフリープランが適用されます。"
,プラン選択,プランは毎月自動で更新されますか？,はい、毎月月末日の前日までにご選択中のプランが翌月のご利用プランとして継続更新されます。プラン変更をご希望の場合は、月末日前日までに行ってください。
,プラン選択,保護者がどのプランに加入しているか施設側で分かりますか？,はい、施設管理画面のクラス管理から、対象のクラス名をクリックし、園児一覧画面の右端に今月のプランと来月のプランが表示されていますので、そちらでご確認ください。
,プラン選択,有料プランの解約は保護者アプリからいつでもできますか？,"月末日のみを除いて、保護者アプリからいつでも可能です。月末日はメンテナンスにつきプラン変更ができません。
※保護者アプリから「アカウント削除」をされた場合も、有料プランは解約となります"
,プラン選択,保護者から「クレジットカードの登録がうまくいかない」と連絡がありましたが、どうしたらいいですか？,"入力情報（カード番号、名義、有効期限、セキュリティコード）に誤りがないかご確認いただき、再度お試しいただくようにお伝えください。
また、クレジットカード会社のセキュリティ判断により自動エラーとなって登録できないケースがあります。別のカードでお試しいただくか、一度該当のカード会社に保護者様ご自身でお問い合わせの上、エラー状況をご確認いただくようにお伝えください。
それでも解決しない場合は、お手数ですがイロドキサポート事務局までお問い合わせいただくようご連絡をお願いいたします。
メール：support@irodoki.com　
電話:06-4967-1283　
※受付時間：平日9 時～17 時（土日祝・GW ・夏季休暇・年末年始等を除く）"
,,,
,アカウント設定について,,
,登録情報,先生アカウントでは何ができますか？,"施設管理画面とカメラアプリに各先生アカウントIDでログインができます。担当クラスを設定することで、必要なクラスのデータのみを操作する権限を付与できます。ご退職等で不要になった先生アカウントIDは施設の本アカウントから削除することでログインができなくなります。
※配信処理は施設の本アカウントのみから行えます。"
,登録情報,園児情報を削除すると保護者アプリはどうなりますか？,"施設さまでの情報が保護者アプリに連携されているため、保護者アプリ上でお子さまの写真を閲覧できなくなります。
※保護者アカウント登録済みの園児情報は施設管理画面から削除できません"
,登録情報,パスワードは変更できますか？,はい、アカウント管理＞施設アカウント情報　からパスワード変更が可能です。半角英数字8文字以上、大文字・小文字・数字を最低1文字ずつ含んだものを設定してください。
,登録情報,施設情報は変更できますか？,"はい、施設画面の施設情報から登録メールアドレスと担当者名のみ変更でききます。その他の項目に変更があった場合は、お手数ですがイロドキサポート事務局までご連絡をお願いいたします。
メール：support@irodoki.com　
電話:06-4967-1283　
※受付時間：平日9 時～17 時（土日祝・GW ・夏季休暇・年末年始等を除く）"
,,,
,園児の入園/卒園・退園/進級について,,
,入園,新たに入園する保護者向けに案内できるチラシ・資料はありますか？,施設管理画面のホーム画面右上の？マークから保護者への案内資料を選択し、「サービス内容のご案内チラシ」をダウンロードしてご活用ください。
,入園,園児名簿へCSV取り込みをするとエラーになってしまいます。,入力内容に問題がないかご確認ください。未入力の項目や読み取りできない文字があるとエラーの原因になります。 ※環境依存文字、特殊文字は取り込みができません。該当の園児を省いていただき、再度取り込みをお試しください。
,入園,途中入園の園児登録はできますか？,はい、可能です。クラス管理の「園児を追加する」から必要事項を入力の上ご登録ください。登録した園児のチェックボックスにチェックを入れると登録用紙が作成されます。用紙を保護者の方にお渡しし、保護者登録を進めていただくようご案内をお願いいたします。
,入園,"新入園児の保護者がまだ登録していませんが、先に配信したいです。
配信した写真も保護者が登録すれば閲覧できますか？","はい。配信から一カ月以内の写真であれば、どなたでも閲覧できます。
ただし、閲覧できるのは該当園児のタグが付いた写真が配信されている場合のみです。
顔登録がまだお済でない場合は、登録が済むまでAIによる振り分けができませんので、手動でタグを追加してください。"
,入園,保護者の登録前に配信した写真を、保護者が登録後に有料プランに加入した場合は保護者アプリからダウンロードができますか？,申し訳ございませんが、保護者のダウンロード機能は有料プランに加入した日以降（当日含む）に配信された写真が対象となります。そのため、保護者登録前の写真は保護者アプリでダウンロードができませんので、ご注意ください。
,卒園・退園,卒園・退園時にはどのような操作が必要ですか？ ,クラス管理から卒園月を設定することで、卒園後の保護者の決済とアプリ利用を停止することができます。詳しくはマニュアルをご覧ください。
,卒園・退園,卒園・退園に関する施設での登録はいつまでに完了したらいいですか？,"保護者のプラン加入状況に影響するため、お子さまが卒園する月末日前日までに完了していただく必要があります。
有料プラン加入者の月額自動決済は月末日前日までに設定いただくことで、卒園月の月末（＝翌月利用分）から自動で停止されます。"
,卒園・退園,卒園・退園児の保護者が行う処理はありますか？,施設様で登録した卒園月の翌月1日からアプリのご利用が不可となりますので、保護者アプリ内の設定画面より、アカウントを削除していただくようお願いします。
,卒園・退園,卒園・退園児の保護者は、いつまで写真の閲覧やダウンロードが可能ですか？,利用プランの種類にかかわらず、卒園月翌月以降は保護者アプリからの閲覧やダウンロードができなくなります。卒園されるまでにダウンロードいただくようお願いします。
,卒園・退園,卒園・退園後もきょうだいが在籍しますが、卒園・退園する上の子の写真を閲覧したりダウンロードしたりすることはできますか？,申し訳ございません。ごきょうだいの有無にかかわらず、卒園されるお子さまの写真は施設様で登録された卒園月の翌月1日以降、閲覧やダウンロードができなくなります。
,進級,進級時にはどのような操作が必要ですか？,"クラス管理から進級設定を行うことで、新年度クラスでの配信を行うことができます。詳しくはマニュアルをご覧ください。
※新年度クラスが開始後に設定を行ってください。"
,,,
,その他,,
,サポート,施設関係者側の利用マニュアルはありますか？,施設さま向けに、各種サポートマニュアルをご用意しております。施設管理画面の右上の？マークから「使い方マニュアル」を選択してご覧ください。
